CREATE CLIENT
CREATE SESSION
time to acquire read lock : 35.013663ms
time to release read lock : 12.66179ms
time to acquire read lock : 27.28581ms
time to release read lock : 15.612288ms
time to acquire read lock : 32.990708ms
time to release read lock : 11.574625ms
time to acquire read lock : 30.043338ms
time to release read lock : 17.876085ms
time to acquire read lock : 37.424806ms
time to release read lock : 12.383266ms
time to acquire read lock : 31.144635ms
time to release read lock : 7.230603ms
time to acquire read lock : 24.963838ms
time to release read lock : 13.759ms
time to acquire read lock : 28.39487ms
time to release read lock : 14.962041ms
time to acquire read lock : 31.1329ms
time to release read lock : 26.485384ms
time to acquire read lock : 35.951636ms
time to release read lock : 16.288539ms
time to acquire read lock : 35.131742ms
time to release read lock : 15.591596ms
time to acquire read lock : 21.59713ms
time to release read lock : 14.987901ms
time to acquire read lock : 23.835357ms
time to release read lock : 16.237039ms
time to acquire read lock : 19.119497ms
time to release read lock : 13.156375ms
time to acquire read lock : 23.731451ms
time to release read lock : 16.316642ms
time to acquire read lock : 29.230454ms
time to release read lock : 13.287119ms
time to acquire read lock : 24.273103ms
time to release read lock : 11.007825ms
time to acquire read lock : 20.17448ms
time to release read lock : 12.357785ms
time to acquire read lock : 24.915387ms
time to release read lock : 12.240923ms
time to acquire read lock : 27.865116ms
time to release read lock : 8.776521ms
time to acquire read lock : 20.868365ms
time to release read lock : 8.957067ms
time to acquire read lock : 18.541074ms
time to release read lock : 10.487692ms
time to acquire read lock : 13.605936ms
time to release read lock : 16.550275ms
time to acquire read lock : 21.715073ms
time to release read lock : 9.97588ms
time to acquire read lock : 22.414013ms
time to release read lock : 5.28946ms
time to acquire read lock : 21.500337ms
time to release read lock : 9.836479ms
time to acquire read lock : 43.198358ms
time to release read lock : 13.404079ms
time to acquire read lock : 46.569917ms
time to release read lock : 16.454313ms
time to acquire read lock : 104.484605ms
time to release read lock : 22.448674ms
time to acquire read lock : 27.1201ms
time to release read lock : 6.781526ms
time to acquire read lock : 40.341003ms
time to release read lock : 12.741371ms
time to acquire read lock : 20.499381ms
time to release read lock : 11.328015ms
time to acquire read lock : 17.896568ms
time to release read lock : 8.839082ms
time to acquire read lock : 14.766509ms
time to release read lock : 11.621648ms
time to acquire read lock : 40.438211ms
time to release read lock : 19.584851ms
time to acquire read lock : 27.736949ms
time to release read lock : 14.652316ms
time to acquire read lock : 28.085ms
time to release read lock : 12.16969ms
time to acquire read lock : 22.627297ms
time to release read lock : 10.55514ms
time to acquire read lock : 19.009022ms
time to release read lock : 8.09245ms
time to acquire read lock : 21.414932ms
time to release read lock : 12.891196ms
time to acquire read lock : 21.809226ms
time to release read lock : 9.208337ms
time to acquire read lock : 22.306825ms
time to release read lock : 9.857475ms
time to acquire read lock : 28.274959ms
time to release read lock : 14.996083ms
time to acquire read lock : 22.745499ms
time to release read lock : 8.100664ms
time to acquire read lock : 13.898916ms
time to release read lock : 16.03881ms
time to acquire read lock : 15.849086ms
time to release read lock : 10.886753ms
time to acquire read lock : 17.239717ms
time to release read lock : 18.342638ms
time to acquire read lock : 28.390384ms
time to release read lock : 9.129769ms
time to acquire read lock : 22.413081ms
time to release read lock : 9.653431ms
time to acquire read lock : 24.606855ms
time to release read lock : 9.062437ms
time to acquire read lock : 24.42815ms
time to release read lock : 8.975351ms
time to acquire read lock : 36.225191ms
time to release read lock : 11.508836ms
time to acquire read lock : 18.333315ms
time to release read lock : 13.585895ms
time to acquire read lock : 20.199483ms
time to release read lock : 15.663851ms
time to acquire read lock : 18.298765ms
time to release read lock : 8.052445ms
time to acquire read lock : 23.712282ms
time to release read lock : 14.477193ms
time to acquire read lock : 21.494942ms
time to release read lock : 9.82853ms
time to acquire read lock : 25.308701ms
time to release read lock : 11.103321ms
time to acquire read lock : 27.365314ms
time to release read lock : 12.155812ms
time to acquire read lock : 27.334479ms
time to release read lock : 13.299482ms
time to acquire read lock : 26.457856ms
time to release read lock : 6.295358ms
time to acquire read lock : 29.997619ms
time to release read lock : 12.726182ms
time to acquire read lock : 20.296817ms
time to release read lock : 14.035663ms
time to acquire read lock : 21.469358ms
time to release read lock : 12.610032ms
time to acquire read lock : 20.044483ms
time to release read lock : 13.232568ms
time to acquire read lock : 31.244877ms
time to release read lock : 26.518416ms
time to acquire read lock : 33.862006ms
time to release read lock : 11.831882ms
time to acquire read lock : 20.986845ms
time to release read lock : 8.889399ms
time to acquire read lock : 38.174082ms
time to release read lock : 13.304849ms
time to acquire read lock : 31.749683ms
time to release read lock : 18.489521ms
time to acquire read lock : 43.988162ms
time to release read lock : 7.69037ms
time to acquire read lock : 26.496995ms
time to release read lock : 8.419037ms
time to acquire read lock : 20.931976ms
time to release read lock : 8.909214ms
time to acquire read lock : 19.932358ms
time to release read lock : 8.791826ms
time to acquire read lock : 20.953234ms
time to release read lock : 16.58552ms
time to acquire read lock : 12.804251ms
time to release read lock : 11.10834ms
time to acquire read lock : 39.358546ms
time to release read lock : 16.960077ms
time to acquire read lock : 27.266594ms
time to release read lock : 13.636944ms
time to acquire read lock : 24.708759ms
time to release read lock : 12.905963ms
time to acquire read lock : 18.016784ms
time to release read lock : 9.320731ms
time to acquire read lock : 24.958504ms
time to release read lock : 11.162969ms
time to acquire read lock : 17.387504ms
time to release read lock : 10.347446ms
time to acquire read lock : 36.079176ms
time to release read lock : 8.684004ms
time to acquire read lock : 13.999001ms
time to release read lock : 13.923427ms
time to acquire read lock : 16.848109ms
time to release read lock : 13.975915ms
time to acquire read lock : 15.816387ms
time to release read lock : 4.892219ms
time to acquire read lock : 12.934692ms
time to release read lock : 10.865819ms
time to acquire read lock : 21.884746ms
time to release read lock : 17.125731ms
time to acquire read lock : 25.355088ms
time to release read lock : 8.964829ms
time to acquire read lock : 23.998497ms
time to release read lock : 16.543014ms
time to acquire read lock : 16.857146ms
time to release read lock : 7.513124ms
time to acquire read lock : 24.261373ms
time to release read lock : 15.026395ms
time to acquire read lock : 25.308279ms
time to release read lock : 12.703255ms
time to acquire read lock : 33.253776ms
time to release read lock : 20.388212ms
time to acquire read lock : 16.64393ms
time to release read lock : 11.668963ms
time to acquire read lock : 12.308838ms
time to release read lock : 8.749532ms
time to acquire read lock : 27.371925ms
time to release read lock : 10.610095ms
time to acquire read lock : 30.632551ms
time to release read lock : 19.015292ms
time to acquire read lock : 23.170524ms
time to release read lock : 8.582782ms
time to acquire read lock : 18.503881ms
time to release read lock : 12.885637ms
time to acquire read lock : 24.067961ms
time to release read lock : 12.424959ms
time to acquire read lock : 21.227027ms
time to release read lock : 17.591764ms
time to acquire read lock : 24.874757ms
time to release read lock : 9.229462ms
time to acquire read lock : 23.94797ms
time to release read lock : 12.308741ms
time to acquire read lock : 26.724721ms
time to release read lock : 15.801131ms
time to acquire read lock : 16.372333ms
time to release read lock : 6.753648ms
time to acquire read lock : 13.863835ms
time to release read lock : 7.719155ms
time to acquire read lock : 25.448856ms
time to release read lock : 10.06888ms
time to acquire read lock : 18.844673ms
time to release read lock : 14.419512ms
time to acquire read lock : 21.969274ms
time to release read lock : 11.803961ms
time to acquire read lock : 31.238701ms
time to release read lock : 12.001753ms
time to acquire read lock : 28.479957ms
time to release read lock : 8.588878ms
time to acquire read lock : 21.134091ms
time to release read lock : 13.304245ms
time to acquire read lock : 15.196763ms
time to release read lock : 17.230268ms
time to acquire read lock : 29.639567ms
time to release read lock : 14.952709ms
time to acquire read lock : 25.83154ms
time to release read lock : 13.599932ms
time to acquire read lock : 29.921315ms
time to release read lock : 13.683315ms
time to acquire read lock : 21.977934ms
time to release read lock : 13.077984ms
time to acquire read lock : 33.022454ms
time to release read lock : 10.100063ms
time to acquire read lock : 36.91575ms
time to release read lock : 21.467764ms
time to acquire read lock : 53.723765ms
time to release read lock : 28.797045ms
time to acquire read lock : 126.166195ms
time to release read lock : 41.347265ms
time to acquire read lock : 49.589914ms
time to release read lock : 15.023764ms
time to acquire read lock : 33.419861ms
time to release read lock : 17.370017ms
time to acquire read lock : 31.477704ms
time to release read lock : 13.093132ms
time to acquire read lock : 34.377019ms
time to release read lock : 17.273393ms
time to acquire read lock : 31.770765ms
time to release read lock : 10.317587ms
time to acquire read lock : 30.278604ms
time to release read lock : 12.133666ms
time to acquire read lock : 28.312597ms
time to release read lock : 10.132708ms
time to acquire read lock : 44.31688ms
time to release read lock : 13.642904ms
time to acquire read lock : 40.322669ms
time to release read lock : 11.935867ms
time to acquire read lock : 1.039487772s
time to release read lock : 10.982459ms
time to acquire read lock : 20.980418ms
time to release read lock : 10.6452ms
time to acquire read lock : 16.443982ms
time to release read lock : 8.478894ms
time to acquire read lock : 16.55926ms
time to release read lock : 16.780706ms
time to acquire read lock : 22.759516ms
time to release read lock : 16.099597ms
time to acquire read lock : 22.097213ms
time to release read lock : 7.956372ms
time to acquire read lock : 21.805494ms
time to release read lock : 12.099098ms
time to acquire read lock : 18.976333ms
time to release read lock : 13.152955ms
time to acquire read lock : 16.301946ms
time to release read lock : 11.621923ms
time to acquire read lock : 19.814ms
time to release read lock : 15.278945ms
time to acquire read lock : 28.670742ms
time to release read lock : 9.629837ms
time to acquire read lock : 19.019591ms
time to release read lock : 8.274458ms
time to acquire read lock : 34.258341ms
time to release read lock : 9.968209ms
time to acquire read lock : 16.889928ms
time to release read lock : 8.143987ms
time to acquire read lock : 23.730723ms
time to release read lock : 13.919649ms
time to acquire read lock : 18.213778ms
time to release read lock : 12.268528ms
time to acquire read lock : 17.111222ms
time to release read lock : 4.987678ms
time to acquire read lock : 28.15313ms
time to release read lock : 13.72534ms
time to acquire read lock : 28.688219ms
time to release read lock : 11.479181ms
time to acquire read lock : 27.980288ms
time to release read lock : 29.896216ms
time to acquire read lock : 28.061992ms
time to release read lock : 11.202099ms
time to acquire read lock : 20.511463ms
time to release read lock : 17.98409ms
time to acquire read lock : 24.942188ms
time to release read lock : 11.520607ms
time to acquire read lock : 24.007342ms
time to release read lock : 17.637056ms
time to acquire read lock : 21.846275ms
time to release read lock : 10.649732ms
time to acquire read lock : 29.981692ms
time to release read lock : 11.18666ms
time to acquire read lock : 37.381261ms
time to release read lock : 14.840171ms
time to acquire read lock : 25.444378ms
time to release read lock : 8.970416ms
time to acquire read lock : 25.684714ms
time to release read lock : 15.156563ms
time to acquire read lock : 28.09089ms
time to release read lock : 11.816204ms
time to acquire read lock : 29.531014ms
time to release read lock : 25.337453ms
time to acquire read lock : 34.597782ms
time to release read lock : 17.201499ms
time to acquire read lock : 27.79701ms
time to release read lock : 14.768402ms
time to acquire read lock : 20.354378ms
time to release read lock : 17.598315ms
time to acquire read lock : 26.517856ms
time to release read lock : 14.850112ms
time to acquire read lock : 22.830296ms
time to release read lock : 13.567627ms
time to acquire read lock : 28.929569ms
time to release read lock : 16.522815ms
time to acquire read lock : 28.164689ms
time to release read lock : 12.873567ms
time to acquire read lock : 28.365806ms
time to release read lock : 8.216031ms
time to acquire read lock : 42.899961ms
time to release read lock : 16.997535ms
time to acquire read lock : 47.118441ms
time to release read lock : 11.640526ms
time to acquire read lock : 84.210152ms
time to release read lock : 13.901699ms
time to acquire read lock : 34.794994ms
time to release read lock : 10.852355ms
time to acquire read lock : 21.293708ms
time to release read lock : 11.894649ms
time to acquire read lock : 41.89677ms
time to release read lock : 10.694167ms
time to acquire read lock : 28.012556ms
time to release read lock : 15.716643ms
time to acquire read lock : 23.554942ms
time to release read lock : 11.853388ms
time to acquire read lock : 12.273689ms
time to release read lock : 12.32657ms
time to acquire read lock : 23.405913ms
time to release read lock : 7.997876ms
time to acquire read lock : 31.815607ms
time to release read lock : 16.967662ms
time to acquire read lock : 39.849832ms
time to release read lock : 13.171492ms
time to acquire read lock : 28.018988ms
time to release read lock : 10.079971ms
time to acquire read lock : 28.649417ms
time to release read lock : 8.19704ms
time to acquire read lock : 30.458922ms
time to release read lock : 13.45541ms
time to acquire read lock : 28.388915ms
time to release read lock : 15.818486ms
time to acquire read lock : 36.56465ms
time to release read lock : 10.737489ms
time to acquire read lock : 24.315675ms
time to release read lock : 16.679131ms
time to acquire read lock : 25.461663ms
time to release read lock : 9.979665ms
time to acquire read lock : 50.748739ms
time to release read lock : 23.266092ms
time to acquire read lock : 19.567401ms
time to release read lock : 12.012282ms
time to acquire read lock : 33.212654ms
time to release read lock : 21.369951ms
time to acquire read lock : 23.331156ms
time to release read lock : 15.102266ms
time to acquire read lock : 13.784694ms
time to release read lock : 12.212528ms
time to acquire read lock : 31.148461ms
time to release read lock : 14.509237ms
time to acquire read lock : 23.553513ms
time to release read lock : 9.563321ms
time to acquire read lock : 31.348374ms
time to release read lock : 9.866449ms
time to acquire read lock : 16.899186ms
time to release read lock : 9.763711ms
time to acquire read lock : 22.263055ms
time to release read lock : 10.402744ms
time to acquire read lock : 34.670469ms
time to release read lock : 12.293156ms
time to acquire read lock : 55.410875ms
time to release read lock : 11.050516ms
time to acquire read lock : 24.054096ms
time to release read lock : 16.012334ms
time to acquire read lock : 17.4722ms
time to release read lock : 8.396156ms
time to acquire read lock : 27.009469ms
time to release read lock : 7.516856ms
time to acquire read lock : 25.561723ms
time to release read lock : 18.369158ms
time to acquire read lock : 20.163576ms
time to release read lock : 17.146543ms
time to acquire read lock : 24.139124ms
time to release read lock : 13.384281ms
time to acquire read lock : 14.287906ms
time to release read lock : 14.367413ms
time to acquire read lock : 27.985963ms
time to release read lock : 7.267029ms
time to acquire read lock : 39.22743ms
time to release read lock : 12.248776ms
time to acquire read lock : 19.854465ms
time to release read lock : 13.049686ms
time to acquire read lock : 24.698881ms
time to release read lock : 12.523014ms
time to acquire read lock : 15.810828ms
time to release read lock : 7.559472ms
time to acquire read lock : 23.238845ms
time to release read lock : 7.911041ms
time to acquire read lock : 19.608281ms
time to release read lock : 14.69672ms
time to acquire read lock : 22.567457ms
time to release read lock : 7.058948ms
time to acquire read lock : 19.487711ms
time to release read lock : 14.836641ms
time to acquire read lock : 25.075068ms
time to release read lock : 7.665414ms
time to acquire read lock : 16.889037ms
time to release read lock : 15.558101ms
time to acquire read lock : 23.289413ms
time to release read lock : 9.269722ms
time to acquire read lock : 24.823773ms
time to release read lock : 5.752338ms
time to acquire read lock : 25.033903ms
time to release read lock : 7.977688ms
time to acquire read lock : 19.621457ms
time to release read lock : 9.862076ms
time to acquire read lock : 21.160787ms
time to release read lock : 6.768025ms
time to acquire read lock : 36.090889ms
time to release read lock : 12.243564ms
time to acquire read lock : 16.57469ms
time to release read lock : 8.645204ms
time to acquire read lock : 24.129249ms
time to release read lock : 11.530172ms
time to acquire read lock : 19.814395ms
time to release read lock : 11.612813ms
time to acquire read lock : 27.074701ms
time to release read lock : 12.562284ms
time to acquire read lock : 20.881495ms
time to release read lock : 8.312511ms
time to acquire read lock : 36.097669ms
time to release read lock : 13.583042ms
time to acquire read lock : 35.16597ms
time to release read lock : 11.76788ms
time to acquire read lock : 39.103788ms
time to release read lock : 9.009638ms
time to acquire read lock : 31.480025ms
time to release read lock : 14.739341ms
time to acquire read lock : 30.863679ms
time to release read lock : 20.690595ms
time to acquire read lock : 34.333221ms
time to release read lock : 8.791259ms
time to acquire read lock : 31.529453ms
time to release read lock : 9.656629ms
time to acquire read lock : 29.035463ms
time to release read lock : 11.178931ms
time to acquire read lock : 42.847771ms
time to release read lock : 16.287736ms
time to acquire read lock : 28.959863ms
time to release read lock : 17.730061ms
time to acquire read lock : 25.207074ms
time to release read lock : 11.994446ms
time to acquire read lock : 35.559678ms
time to release read lock : 13.13391ms
time to acquire read lock : 31.611158ms
time to release read lock : 13.591992ms
time to acquire read lock : 33.128622ms
time to release read lock : 10.118249ms
time to acquire read lock : 38.19788ms
time to release read lock : 17.1327ms
time to acquire read lock : 42.095292ms
time to release read lock : 16.936531ms
time to acquire read lock : 31.769411ms
time to release read lock : 20.752551ms
time to acquire read lock : 18.852726ms
time to release read lock : 7.390449ms
time to acquire read lock : 20.313ms
time to release read lock : 40.356325ms
time to acquire read lock : 41.709551ms
time to release read lock : 13.382633ms
time to acquire read lock : 31.423678ms
time to release read lock : 15.576454ms
time to acquire read lock : 25.979977ms
time to release read lock : 25.870963ms
time to acquire read lock : 26.456907ms
time to release read lock : 11.910665ms
time to acquire read lock : 18.461553ms
time to release read lock : 26.560638ms
time to acquire read lock : 23.152935ms
time to release read lock : 20.559148ms
time to acquire read lock : 36.753558ms
time to release read lock : 21.32903ms
time to acquire read lock : 28.699104ms
time to release read lock : 17.527927ms
time to acquire read lock : 25.994903ms
time to release read lock : 25.034848ms
time to acquire read lock : 33.460049ms
time to release read lock : 6.606556ms
time to acquire read lock : 37.137381ms
time to release read lock : 14.872476ms
time to acquire read lock : 40.056663ms
time to release read lock : 12.74045ms
time to acquire read lock : 44.382572ms
time to release read lock : 14.908834ms
time to acquire read lock : 39.903091ms
time to release read lock : 14.541073ms
time to acquire read lock : 29.751027ms
time to release read lock : 26.332971ms
time to acquire read lock : 39.068155ms
time to release read lock : 18.839489ms
time to acquire read lock : 24.375597ms
time to release read lock : 18.70871ms
time to acquire read lock : 31.410713ms
time to release read lock : 9.710337ms
time to acquire read lock : 30.497309ms
time to release read lock : 10.75569ms
time to acquire read lock : 33.592039ms
time to release read lock : 10.159901ms
time to acquire read lock : 28.937991ms
time to release read lock : 12.488699ms
