CREATE CLIENT
CREATE SESSION
time to release read lock : 4.082149ms
time to acquire read lock : 8.424978ms
time to release read lock : 4.058191ms
time to acquire read lock : 10.099933ms
time to release read lock : 4.071059ms
time to acquire read lock : 10.222343ms
time to release read lock : 5.410773ms
time to acquire read lock : 9.476329ms
time to release read lock : 4.61678ms
time to acquire read lock : 8.467733ms
time to release read lock : 4.387375ms
time to acquire read lock : 8.833824ms
time to release read lock : 3.700969ms
time to acquire read lock : 8.696463ms
time to release read lock : 5.393444ms
time to acquire read lock : 11.868197ms
time to release read lock : 5.305458ms
time to acquire read lock : 10.044201ms
time to release read lock : 5.218089ms
time to acquire read lock : 10.668004ms
time to release read lock : 5.640943ms
time to acquire read lock : 8.330927ms
time to release read lock : 7.970697ms
time to acquire read lock : 11.764263ms
time to release read lock : 4.149641ms
time to acquire read lock : 12.265921ms
time to release read lock : 5.48693ms
time to acquire read lock : 9.782773ms
time to release read lock : 5.285543ms
time to acquire read lock : 7.609577ms
time to release read lock : 4.803257ms
time to acquire read lock : 8.907408ms
time to release read lock : 4.17977ms
time to acquire read lock : 8.77599ms
time to release read lock : 4.909265ms
time to acquire read lock : 9.29996ms
time to release read lock : 4.191891ms
time to acquire read lock : 11.770754ms
time to release read lock : 3.854812ms
time to acquire read lock : 10.056255ms
time to release read lock : 4.213206ms
time to acquire read lock : 10.717208ms
time to release read lock : 4.809797ms
time to acquire read lock : 9.862686ms
time to release read lock : 5.901902ms
time to acquire read lock : 13.074577ms
time to release read lock : 6.984618ms
time to acquire read lock : 7.790007ms
time to release read lock : 6.528541ms
time to acquire read lock : 8.949427ms
time to release read lock : 5.630332ms
time to acquire read lock : 8.841307ms
time to release read lock : 4.828966ms
time to acquire read lock : 11.380812ms
time to release read lock : 4.455148ms
time to acquire read lock : 13.474719ms
time to release read lock : 3.972707ms
time to acquire read lock : 8.768641ms
time to release read lock : 7.171846ms
time to acquire read lock : 9.392618ms
time to release read lock : 5.432888ms
time to acquire read lock : 8.367191ms
time to release read lock : 5.126934ms
time to acquire read lock : 9.525221ms
time to release read lock : 7.689083ms
time to acquire read lock : 8.555285ms
time to release read lock : 4.899606ms
time to acquire read lock : 9.637608ms
time to release read lock : 3.639657ms
time to acquire read lock : 8.945703ms
time to release read lock : 4.305747ms
time to acquire read lock : 10.816124ms
time to release read lock : 4.59962ms
time to acquire read lock : 8.240168ms
time to release read lock : 7.972729ms
time to acquire read lock : 11.720478ms
time to release read lock : 4.573759ms
time to acquire read lock : 11.259181ms
time to release read lock : 4.068467ms
time to acquire read lock : 10.201308ms
time to release read lock : 6.14405ms
time to acquire read lock : 10.891396ms
time to release read lock : 3.435661ms
time to acquire read lock : 9.180737ms
time to release read lock : 4.421108ms
time to acquire read lock : 11.779115ms
time to release read lock : 4.015151ms
time to acquire read lock : 10.162344ms
time to release read lock : 6.000894ms
time to acquire read lock : 11.37901ms
time to release read lock : 4.750012ms
time to acquire read lock : 7.811521ms
time to release read lock : 4.98882ms
time to acquire read lock : 12.494461ms
time to release read lock : 5.544276ms
time to acquire read lock : 7.70238ms
time to release read lock : 6.323852ms
time to acquire read lock : 10.715771ms
time to release read lock : 3.870961ms
time to acquire read lock : 8.787202ms
time to release read lock : 4.993086ms
time to acquire read lock : 8.90909ms
time to release read lock : 4.856562ms
time to acquire read lock : 8.912805ms
time to release read lock : 5.894183ms
time to acquire read lock : 7.742839ms
time to release read lock : 4.616046ms
time to acquire read lock : 9.081868ms
time to release read lock : 4.372264ms
time to acquire read lock : 9.763437ms
time to release read lock : 4.589914ms
time to acquire read lock : 10.150544ms
time to release read lock : 4.348675ms
time to acquire read lock : 8.538941ms
time to release read lock : 5.691953ms
time to acquire read lock : 8.864303ms
time to release read lock : 3.848469ms
time to acquire read lock : 9.036721ms
time to release read lock : 3.857522ms
