CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to acquire read lock : 149.678352ms
time to release read lock : 53.234156ms
time to acquire read lock : 97.622959ms
time to release read lock : 47.036057ms
time to acquire read lock : 129.450294ms
time to release read lock : 65.547144ms
time to acquire read lock : 175.250027ms
time to release read lock : 82.098472ms
time to acquire read lock : 91.904664ms
time to release read lock : 74.197029ms
time to acquire read lock : 107.002143ms
time to release read lock : 43.319971ms
time to acquire read lock : 125.694154ms
time to release read lock : 62.956314ms
time to acquire read lock : 91.477578ms
time to release read lock : 36.466214ms
time to acquire read lock : 88.758378ms
time to release read lock : 65.408184ms
time to acquire read lock : 76.907267ms
time to release read lock : 57.928616ms
time to acquire read lock : 111.064544ms
time to release read lock : 57.452773ms
time to acquire read lock : 82.8907ms
time to release read lock : 51.40733ms
time to acquire read lock : 109.886226ms
time to release read lock : 52.453831ms
time to acquire read lock : 78.899608ms
time to release read lock : 36.176384ms
time to acquire read lock : 108.459452ms
time to release read lock : 45.058786ms
time to acquire read lock : 85.136395ms
time to release read lock : 50.850951ms
time to acquire read lock : 91.675171ms
time to release read lock : 44.484427ms
time to acquire read lock : 87.001616ms
time to release read lock : 51.973201ms
time to acquire read lock : 208.375984ms
time to release read lock : 49.377976ms
time to acquire read lock : 98.157655ms
time to release read lock : 57.50704ms
time to acquire read lock : 95.023911ms
time to release read lock : 27.093629ms
time to acquire read lock : 116.418265ms
time to release read lock : 68.356646ms
time to acquire read lock : 91.068225ms
time to release read lock : 52.897342ms
time to acquire read lock : 148.608805ms
time to release read lock : 156.235886ms
time to acquire read lock : 156.147867ms
time to release read lock : 37.283527ms
time to acquire read lock : 104.215789ms
time to release read lock : 48.666819ms
time to acquire read lock : 157.284334ms
time to release read lock : 62.169491ms
time to acquire read lock : 99.02861ms
time to release read lock : 48.272548ms
time to acquire read lock : 105.811747ms
time to release read lock : 39.160617ms
time to acquire read lock : 78.418882ms
time to release read lock : 69.171973ms
time to acquire read lock : 83.802348ms
time to release read lock : 50.463267ms
time to acquire read lock : 105.726788ms
time to release read lock : 30.070876ms
time to acquire read lock : 103.031916ms
time to release read lock : 42.273112ms
time to acquire read lock : 112.882152ms
time to release read lock : 42.561049ms
time to acquire read lock : 96.238839ms
time to release read lock : 49.83913ms
time to acquire read lock : 198.203987ms
time to release read lock : 31.304112ms
time to acquire read lock : 110.338615ms
time to release read lock : 33.427737ms
time to acquire read lock : 91.984754ms
time to release read lock : 43.026171ms
time to acquire read lock : 86.545813ms
time to release read lock : 43.353425ms
time to acquire read lock : 109.521098ms
time to release read lock : 36.694234ms
time to acquire read lock : 78.297995ms
time to release read lock : 39.538434ms
time to acquire read lock : 74.072346ms
time to release read lock : 124.077691ms
time to acquire read lock : 66.477739ms
time to release read lock : 48.570312ms
time to acquire read lock : 81.340204ms
time to release read lock : 36.30889ms
time to acquire read lock : 130.950229ms
time to release read lock : 44.169214ms
time to acquire read lock : 133.389042ms
time to release read lock : 58.52515ms
time to acquire read lock : 121.322566ms
time to release read lock : 37.577852ms
time to acquire read lock : 134.634215ms
time to release read lock : 53.207054ms
time to acquire read lock : 97.016929ms
time to release read lock : 32.926712ms
time to acquire read lock : 81.323005ms
time to release read lock : 36.178591ms
time to acquire read lock : 79.242115ms
time to release read lock : 65.198387ms
time to acquire read lock : 184.173096ms
time to release read lock : 43.290548ms
time to acquire read lock : 103.569185ms
time to release read lock : 58.11704ms
time to acquire read lock : 106.838381ms
time to release read lock : 79.112294ms
time to acquire read lock : 191.200682ms
time to release read lock : 38.916798ms
time to acquire read lock : 125.730046ms
time to release read lock : 31.816615ms
time to acquire read lock : 118.563835ms
time to release read lock : 61.452505ms
time to acquire read lock : 101.118655ms
time to release read lock : 50.560532ms
time to acquire read lock : 146.164648ms
time to release read lock : 55.924077ms
time to acquire read lock : 114.452677ms
time to release read lock : 50.15053ms
time to acquire read lock : 207.99243ms
time to release read lock : 43.607988ms
time to acquire read lock : 152.126605ms
time to release read lock : 87.582786ms
time to acquire read lock : 104.782657ms
time to release read lock : 71.333509ms
time to acquire read lock : 154.492667ms
time to release read lock : 42.007847ms
time to acquire read lock : 80.102464ms
time to release read lock : 50.166634ms
time to acquire read lock : 103.161706ms
time to release read lock : 38.473931ms
time to acquire read lock : 74.552455ms
time to release read lock : 39.386156ms
time to acquire read lock : 86.5996ms
time to release read lock : 32.291381ms
time to acquire read lock : 71.013831ms
time to release read lock : 53.023137ms
time to acquire read lock : 172.63842ms
time to release read lock : 71.920496ms
time to acquire read lock : 106.183356ms
time to release read lock : 54.757925ms
time to acquire read lock : 162.919151ms
time to release read lock : 37.785708ms
time to acquire read lock : 132.517433ms
time to release read lock : 43.361168ms
time to acquire read lock : 91.284732ms
time to release read lock : 50.515849ms
time to acquire read lock : 85.133505ms
time to release read lock : 48.770751ms
time to acquire read lock : 111.111279ms
time to release read lock : 47.912744ms
time to acquire read lock : 91.212997ms
time to release read lock : 40.546524ms
time to acquire read lock : 76.770689ms
time to release read lock : 54.96931ms
time to acquire read lock : 82.851357ms
time to release read lock : 61.736109ms
time to acquire read lock : 148.67931ms
time to release read lock : 76.546669ms
time to acquire read lock : 156.523289ms
time to release read lock : 76.93863ms
time to acquire read lock : 117.821232ms
time to release read lock : 61.188577ms
time to acquire read lock : 192.573888ms
time to release read lock : 78.984164ms
time to acquire read lock : 120.623925ms
time to release read lock : 37.787401ms
time to acquire read lock : 77.415118ms
time to release read lock : 31.2761ms
time to acquire read lock : 77.760163ms
time to release read lock : 47.572616ms
time to acquire read lock : 202.564153ms
time to release read lock : 64.388393ms
time to acquire read lock : 136.275171ms
time to release read lock : 45.815818ms
time to acquire read lock : 127.846344ms
time to release read lock : 54.507079ms
time to acquire read lock : 157.038634ms
time to release read lock : 50.438003ms
time to acquire read lock : 229.16039ms
time to release read lock : 70.537211ms
time to acquire read lock : 111.753877ms
time to release read lock : 45.41863ms
time to acquire read lock : 130.16985ms
time to release read lock : 47.874397ms
time to acquire read lock : 121.22517ms
time to release read lock : 29.064023ms
time to acquire read lock : 77.922033ms
time to release read lock : 69.720615ms
time to acquire read lock : 91.199192ms
time to release read lock : 80.029864ms
time to acquire read lock : 110.888919ms
time to release read lock : 73.98761ms
time to acquire read lock : 102.660582ms
time to release read lock : 68.863668ms
time to acquire read lock : 150.285945ms
time to release read lock : 91.82369ms
time to acquire read lock : 171.720151ms
time to release read lock : 69.379391ms
time to acquire read lock : 153.373791ms
time to release read lock : 45.49428ms
time to acquire read lock : 86.042268ms
time to release read lock : 42.93752ms
time to acquire read lock : 77.420644ms
time to release read lock : 53.727427ms
time to acquire read lock : 75.267172ms
time to release read lock : 54.864632ms
time to acquire read lock : 101.603425ms
time to release read lock : 65.786111ms
time to acquire read lock : 94.018797ms
time to release read lock : 62.378412ms
time to acquire read lock : 172.83354ms
time to release read lock : 54.615195ms
time to acquire read lock : 56.877865ms
time to release read lock : 59.404831ms
time to acquire read lock : 164.020185ms
time to release read lock : 48.300258ms
time to acquire read lock : 86.479433ms
time to release read lock : 61.786992ms
time to acquire read lock : 112.060665ms
time to release read lock : 42.943331ms
time to acquire read lock : 107.931796ms
time to release read lock : 45.509821ms
time to acquire read lock : 144.724112ms
time to release read lock : 35.093053ms
time to acquire read lock : 84.489976ms
time to release read lock : 59.429321ms
time to acquire read lock : 88.150991ms
time to release read lock : 49.657291ms
time to acquire read lock : 91.687422ms
time to release read lock : 55.23245ms
time to acquire read lock : 98.55144ms
time to release read lock : 40.074564ms
time to acquire read lock : 73.701069ms
time to release read lock : 46.903883ms
time to acquire read lock : 107.228103ms
time to release read lock : 50.509693ms
time to acquire read lock : 76.201145ms
time to release read lock : 43.418652ms
time to acquire read lock : 106.282034ms
time to release read lock : 44.166376ms
time to acquire read lock : 78.337998ms
time to release read lock : 69.17158ms
time to acquire read lock : 89.00892ms
time to release read lock : 38.729812ms
time to acquire read lock : 94.71548ms
time to release read lock : 38.069999ms
time to acquire read lock : 98.183757ms
time to release read lock : 56.247861ms
time to acquire read lock : 121.454376ms
time to release read lock : 51.215739ms
time to acquire read lock : 93.227796ms
time to release read lock : 53.290043ms
time to acquire read lock : 81.881886ms
time to release read lock : 112.986315ms
time to acquire read lock : 134.254871ms
time to release read lock : 48.873686ms
time to acquire read lock : 148.075637ms
time to release read lock : 30.650267ms
time to acquire read lock : 167.73429ms
time to release read lock : 45.942723ms
time to acquire read lock : 87.879787ms
time to release read lock : 38.692495ms
time to acquire read lock : 68.613051ms
time to release read lock : 54.499591ms
time to acquire read lock : 74.129574ms
time to release read lock : 42.117747ms
time to acquire read lock : 102.528073ms
time to release read lock : 54.368389ms
time to acquire read lock : 100.161743ms
time to release read lock : 61.928273ms
time to acquire read lock : 69.171436ms
time to release read lock : 43.038336ms
time to acquire read lock : 126.441455ms
time to release read lock : 56.464433ms
time to acquire read lock : 95.506279ms
time to release read lock : 46.904466ms
time to acquire read lock : 85.491632ms
time to release read lock : 41.886882ms
time to acquire read lock : 86.435718ms
time to release read lock : 37.347955ms
time to acquire read lock : 92.447836ms
time to release read lock : 28.052127ms
time to acquire read lock : 61.633866ms
time to release read lock : 36.636636ms
time to acquire read lock : 87.11231ms
time to release read lock : 41.971707ms
time to acquire read lock : 156.894038ms
time to release read lock : 88.484567ms
time to acquire read lock : 127.112156ms
time to release read lock : 44.563017ms
time to acquire read lock : 79.656ms
time to release read lock : 47.884174ms
time to acquire read lock : 129.707884ms
time to release read lock : 41.622746ms
time to acquire read lock : 103.952288ms
time to release read lock : 52.435789ms
time to acquire read lock : 101.860373ms
time to release read lock : 44.111678ms
time to acquire read lock : 84.872543ms
time to release read lock : 62.456753ms
time to acquire read lock : 98.172054ms
time to release read lock : 36.587399ms
time to acquire read lock : 101.072128ms
time to release read lock : 28.991274ms
time to acquire read lock : 90.026003ms
time to release read lock : 42.308504ms
time to acquire read lock : 108.741085ms
time to release read lock : 56.503057ms
time to acquire read lock : 82.462197ms
time to release read lock : 45.341049ms
time to acquire read lock : 140.888636ms
time to release read lock : 32.369556ms
time to acquire read lock : 98.451975ms
time to release read lock : 52.440377ms
time to acquire read lock : 121.377919ms
time to release read lock : 47.437006ms
time to acquire read lock : 88.147747ms
time to release read lock : 58.967458ms
time to acquire read lock : 86.572068ms
time to release read lock : 28.626057ms
time to acquire read lock : 83.409881ms
time to release read lock : 37.266578ms
time to acquire read lock : 70.647093ms
time to release read lock : 89.453729ms
time to acquire read lock : 76.429442ms
time to release read lock : 30.403888ms
time to acquire read lock : 78.121335ms
time to release read lock : 59.331153ms
time to acquire read lock : 77.779525ms
time to release read lock : 58.479619ms
time to acquire read lock : 83.647248ms
time to release read lock : 49.199363ms
time to acquire read lock : 92.058077ms
time to release read lock : 25.043532ms
time to acquire read lock : 78.523314ms
time to release read lock : 45.654406ms
time to acquire read lock : 75.293459ms
time to release read lock : 46.822961ms
time to acquire read lock : 86.103846ms
time to release read lock : 51.285774ms
time to acquire read lock : 77.093066ms
time to release read lock : 29.863849ms
time to acquire read lock : 93.575611ms
time to release read lock : 37.154988ms
time to acquire read lock : 99.424269ms
time to release read lock : 48.008198ms
time to acquire read lock : 73.034276ms
time to release read lock : 34.158154ms
time to acquire read lock : 125.440725ms
time to release read lock : 43.587779ms
time to acquire read lock : 190.865805ms
time to release read lock : 71.648871ms
time to acquire read lock : 101.969296ms
time to release read lock : 59.068978ms
time to acquire read lock : 182.427344ms
time to release read lock : 47.744334ms
time to acquire read lock : 66.301033ms
time to release read lock : 39.289561ms
time to acquire read lock : 83.327099ms
time to release read lock : 43.769928ms
time to acquire read lock : 97.005471ms
time to release read lock : 46.201824ms
